number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_latent_dim,params_learning_rate,params_num_flows,params_patience,state
89,0.04385963194072247,2024-12-09 14:08:34.168730,2024-12-09 14:29:34.085639,0 days 00:20:59.916909,8,384,32,0.0008863406553720015,5,6,COMPLETE
90,0.04308647046176096,2024-12-09 14:10:30.163364,2024-12-09 14:35:08.213311,0 days 00:24:38.049947,8,384,32,0.000829463677890676,6,4,COMPLETE
91,-0.2577045710136493,2024-12-09 14:10:54.259987,2024-12-09 14:34:35.975446,0 days 00:23:41.715459,8,384,32,0.0001736748750117004,8,3,COMPLETE
92,-0.6788669730226199,2024-12-09 14:15:49.956834,2024-12-09 15:25:56.858116,0 days 01:10:06.901282,8,256,32,0.0001668312994025798,5,4,COMPLETE
93,-0.1786588211854299,2024-12-09 14:24:35.448324,2024-12-09 14:39:11.657056,0 days 00:14:36.208732,64,256,32,6.905796172090745e-05,8,3,COMPLETE
94,-0.05636970847845078,2024-12-09 14:29:34.085639,2024-12-09 14:32:22.883390,0 days 00:02:48.797751,64,256,32,6.0029756056362154e-05,8,3,COMPLETE
95,-0.09324385076761246,2024-12-09 14:32:22.899027,2024-12-09 14:37:48.966356,0 days 00:05:26.067329,64,256,32,0.00014368402325102943,10,4,COMPLETE
96,-0.23569368521372477,2024-12-09 14:34:35.975446,2024-12-09 14:39:30.111024,0 days 00:04:54.135578,64,256,32,0.0002695747297907356,10,4,COMPLETE
97,-0.16734412908554078,2024-12-09 14:35:08.228931,2024-12-09 14:39:43.064512,0 days 00:04:34.835581,64,256,32,0.0002863181247333831,10,8,COMPLETE
98,-0.1651030272245407,2024-12-09 14:37:48.966356,2024-12-09 14:47:33.302549,0 days 00:09:44.336193,64,256,32,0.00024833730488598495,9,8,COMPLETE
99,-0.3134347329537074,2024-12-09 14:39:11.657056,2024-12-09 15:04:18.963306,0 days 00:25:07.306250,32,192,32,0.00025054287156952746,10,8,COMPLETE
100,-0.18180088698863983,2024-12-09 14:39:30.111024,2024-12-09 14:49:42.247719,0 days 00:10:12.136695,32,192,32,0.0016069263808177181,9,10,COMPLETE
101,-0.26164137820402783,2024-12-09 14:39:43.064512,2024-12-09 15:00:01.114548,0 days 00:20:18.050036,32,192,32,0.00021183613158319312,5,10,COMPLETE
102,-0.08918089345097542,2024-12-09 14:47:33.302549,2024-12-09 14:55:41.788377,0 days 00:08:08.485828,32,192,32,9.987825640802214e-05,5,10,COMPLETE
103,0.13569007391730945,2024-12-09 14:49:42.263328,2024-12-09 15:10:14.152667,0 days 00:20:31.889339,32,192,32,0.09585506535182738,5,10,COMPLETE
104,-0.08345736041665078,2024-12-09 14:52:34.339676,2024-12-09 15:04:01.617801,0 days 00:11:27.278125,8,320,32,0.0005682845436601883,2,7,COMPLETE
105,0.044934084514776866,2024-12-09 14:55:41.788377,2024-12-09 15:37:57.141079,0 days 00:42:15.352702,8,320,32,0.0003379621082772228,1,7,COMPLETE
106,0.06496873100598653,2024-12-09 15:00:01.130173,2024-12-09 15:23:53.315868,0 days 00:23:52.185695,8,320,32,0.09797948013963903,1,7,COMPLETE
107,-0.03369687997425596,2024-12-09 15:04:01.617801,2024-12-09 15:55:03.735325,0 days 00:51:02.117524,8,320,96,0.0003603973388121145,1,7,COMPLETE
108,0.0627924754905204,2024-12-09 15:04:18.978933,2024-12-09 15:46:57.937559,0 days 00:42:38.958626,8,320,32,0.09070801835665408,1,7,COMPLETE
109,0.04305513713819285,2024-12-09 15:10:14.152667,2024-12-09 15:50:57.605821,0 days 00:40:43.453154,8,320,96,0.0005632300143921418,7,7,COMPLETE
110,0.043303396971896294,2024-12-09 15:15:41.312512,2024-12-09 15:40:29.590971,0 days 00:24:48.278459,8,320,96,0.001602049764846244,6,6,COMPLETE
111,-0.028818471543490886,2024-12-09 15:16:53.015561,2024-12-09 16:08:11.881307,0 days 00:51:18.865746,8,384,96,0.0001621940363949363,1,6,COMPLETE
112,-0.40419087211290994,2024-12-09 15:19:15.276037,2024-12-09 15:56:12.370687,0 days 00:36:57.094650,8,384,32,0.00017242117355765305,6,6,COMPLETE
113,-0.40511584430933,2024-12-09 15:22:52.935739,2024-12-09 15:55:12.547755,0 days 00:32:19.612016,8,448,32,0.0001708759343137825,6,6,COMPLETE
114,0.043360720248892905,2024-12-09 15:23:53.331492,2024-12-09 16:35:57.003238,0 days 01:12:03.671746,8,384,96,3.302314090901148e-05,6,6,COMPLETE
115,0.04376771844302615,2024-12-09 15:25:56.858116,2024-12-09 15:39:07.197653,0 days 00:13:10.339537,8,512,96,3.160784193129477e-05,6,6,COMPLETE
116,0.04403047850355506,2024-12-09 15:37:57.150905,2024-12-09 16:09:56.937750,0 days 00:31:59.786845,8,512,96,0.00011563031093206573,6,6,COMPLETE
117,-0.06160336332395673,2024-12-09 15:39:07.204759,2024-12-09 16:01:17.713164,0 days 00:22:10.508405,8,448,32,0.00016566257453532723,6,6,COMPLETE
118,-0.1608082431058089,2024-12-09 15:40:29.597100,2024-12-09 16:01:34.665844,0 days 00:21:05.068744,8,512,32,0.00016676519219951537,6,5,COMPLETE
119,-0.7554198195536931,2024-12-09 15:46:57.941687,2024-12-09 17:03:46.991274,0 days 01:16:49.049587,8,448,32,0.0001621185971804004,6,5,COMPLETE
120,-0.28422103549043337,2024-12-09 15:50:57.611966,2024-12-09 16:59:14.334207,0 days 01:08:16.722241,8,448,32,0.0001664626094614963,6,5,COMPLETE
121,-0.7054427524407705,2024-12-09 15:55:03.739394,2024-12-09 17:08:54.259294,0 days 01:13:50.519900,8,384,32,0.00011960392874140842,6,6,COMPLETE
122,0.043408906630550824,2024-12-09 15:55:12.552882,2024-12-09 16:46:13.533308,0 days 00:51:00.980426,8,512,32,0.0001628035282156706,6,6,COMPLETE
123,-0.3728731888035933,2024-12-09 15:56:12.377809,2024-12-09 16:27:18.950674,0 days 00:31:06.572865,8,448,32,0.00016342656511042914,6,5,COMPLETE
124,-0.45250869120160736,2024-12-09 16:01:17.718164,2024-12-09 16:55:39.262786,0 days 00:54:21.544622,8,448,32,0.00012262256276071145,6,5,COMPLETE
125,-0.4782411019007365,2024-12-09 16:01:34.670844,2024-12-09 17:19:12.333171,0 days 01:17:37.662327,8,448,32,0.00011945648593130544,6,5,COMPLETE
126,-0.4415848858654499,2024-12-09 16:08:11.884306,2024-12-09 17:22:51.276182,0 days 01:14:39.391876,8,448,32,0.00012840027881392673,6,5,COMPLETE
127,-0.5976703067620596,2024-12-09 16:09:56.937750,2024-12-09 17:18:52.182631,0 days 01:08:55.244881,8,384,32,8.810432387655337e-05,5,5,COMPLETE
128,-0.5085043648878733,2024-12-09 16:27:18.956761,2024-12-09 17:37:09.381649,0 days 01:09:50.424888,8,448,32,9.273310410961545e-05,5,5,COMPLETE
129,-0.3249995450178782,2024-12-09 16:35:57.009236,2024-12-09 16:55:00.154204,0 days 00:19:03.144968,8,448,32,0.0001357303046608808,5,5,COMPLETE
130,-0.09038922047863404,2024-12-09 16:46:13.539427,2024-12-09 16:54:14.989100,0 days 00:08:01.449673,8,448,32,8.81301682488885e-05,5,6,COMPLETE
131,-0.7203629995385806,2024-12-09 16:54:14.993101,2024-12-09 18:05:01.588972,0 days 01:10:46.595871,8,448,32,0.0001250285058246622,5,5,COMPLETE
132,-0.1694700392584006,2024-12-09 16:55:00.160203,2024-12-09 17:27:45.809420,0 days 00:32:45.649217,8,384,32,0.00020644473547772686,7,6,COMPLETE
133,-0.06916291912396749,2024-12-09 16:55:39.267999,2024-12-09 17:08:24.896751,0 days 00:12:45.628752,8,448,32,0.0010726851341728496,7,5,COMPLETE
134,-0.6040941243370374,2024-12-09 16:59:14.339285,2024-12-09 18:25:58.665497,0 days 01:26:44.326212,8,448,32,0.00010943674836957654,7,5,COMPLETE
135,-0.05168773842354615,2024-12-09 17:03:46.997274,2024-12-09 17:20:27.480675,0 days 00:16:40.483401,8,448,32,5.494464341127552e-05,7,5,COMPLETE
136,-0.43573559299111364,2024-12-09 17:08:24.902750,2024-12-09 17:44:48.603369,0 days 00:36:23.700619,8,448,32,0.00011562126353948598,5,4,COMPLETE
137,0.04498721302176515,2024-12-09 17:08:54.264434,2024-12-09 17:25:03.162921,0 days 00:16:08.898487,8,448,32,0.00011706327485901416,5,5,COMPLETE
138,-0.07096755281090736,2024-12-09 17:18:52.186631,2024-12-09 17:26:59.177449,0 days 00:08:06.990818,8,448,32,5.8370353027601074e-05,5,5,COMPLETE
139,-0.7237364768981933,2024-12-09 17:19:12.339169,2024-12-09 18:37:22.938232,0 days 01:18:10.599063,8,448,32,0.00010305652103526244,5,5,COMPLETE
140,-0.11574821167935928,2024-12-09 17:20:27.484674,2024-12-09 18:39:20.660112,0 days 01:18:53.175438,8,448,32,0.00011732572192867,5,5,COMPLETE
141,-0.5097134890655677,2024-12-09 17:22:51.282272,2024-12-09 18:32:53.682792,0 days 01:10:02.400520,8,448,32,0.00011099093301223702,5,5,COMPLETE
142,-0.3484720135728518,2024-12-09 17:25:03.168037,2024-12-09 17:54:44.150530,0 days 00:29:40.982493,8,448,32,8.290779864589273e-05,5,4,COMPLETE
143,-0.3569852444032828,2024-12-09 17:26:59.182521,2024-12-09 18:42:20.915648,0 days 01:15:21.733127,8,448,32,8.058307503872358e-05,5,4,COMPLETE
144,-0.618971639374892,2024-12-09 17:27:45.814558,2024-12-09 18:49:00.200529,0 days 01:21:14.385971,8,448,32,8.355225942322092e-05,5,4,COMPLETE
145,-0.27250738417108855,2024-12-09 17:37:09.386648,2024-12-09 18:54:25.192651,0 days 01:17:15.806003,8,448,32,9.76116558991148e-05,5,4,COMPLETE
146,-0.2531931307166815,2024-12-09 17:44:48.609368,2024-12-09 19:09:26.175243,0 days 01:24:37.565875,8,448,32,8.042282343132577e-05,5,4,COMPLETE
