,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_latent_dim,params_learning_rate,params_patience,state
99,99,0.08706811803082624,2024-12-25 19:15:58.613157,2024-12-25 19:55:37.836877,0 days 00:39:39.223720,64,448,96,9.761986033392867e-05,10,COMPLETE
100,100,0.08984637539833784,2024-12-25 19:22:58.505803,2024-12-25 20:02:20.010057,0 days 00:39:21.504254,64,448,96,0.0002510110980895899,10,COMPLETE
101,101,0.08804495663692553,2024-12-25 19:25:39.699939,2024-12-25 20:04:35.876403,0 days 00:38:56.176464,64,448,96,9.591232480343127e-05,10,COMPLETE
102,102,0.08908744882792234,2024-12-25 19:26:35.477397,2024-12-25 19:44:21.821862,0 days 00:17:46.344465,64,448,96,0.0036099081656176053,10,COMPLETE
103,103,0.08689424759481384,2024-12-25 19:31:44.258256,2024-12-25 22:31:21.628635,0 days 02:59:37.370379,8,448,128,0.00026073211385747104,10,COMPLETE
104,104,0.08680486985083137,2024-12-25 19:41:22.452784,2024-12-25 22:36:08.615705,0 days 02:54:46.162921,8,448,128,0.0009698730516702237,10,COMPLETE
105,105,,2024-12-25 19:42:22.871173,2024-12-25 20:14:23.319550,0 days 00:32:00.448377,8,448,128,0.08809593425312422,10,FAIL
106,106,0.09215690031992037,2024-12-25 19:42:40.281833,2024-12-25 20:14:56.553210,0 days 00:32:16.271377,8,448,128,0.0037636424462047227,7,COMPLETE
107,107,0.08596646943043511,2024-12-25 19:44:21.821862,2024-12-25 22:37:28.932394,0 days 02:53:07.110532,8,448,96,0.0009205688597285933,10,COMPLETE
108,108,0.0894952310139642,2024-12-25 19:45:55.193587,2024-12-25 22:40:45.356339,0 days 02:54:50.162752,8,448,96,0.0009816623110318271,10,COMPLETE
109,109,0.08554175729323335,2024-12-25 19:55:37.836877,2024-12-25 21:50:12.580792,0 days 01:54:34.743915,8,448,128,0.0011032741715179034,10,COMPLETE
110,110,0.08668404160177007,2024-12-25 20:02:20.025713,2024-12-25 22:06:19.676157,0 days 02:03:59.650444,8,448,128,0.0009910953098252555,7,COMPLETE
111,111,0.09083454971428678,2024-12-25 20:04:35.876403,2024-12-25 22:57:36.933956,0 days 02:53:01.057553,8,384,128,0.001203100035691993,7,COMPLETE
112,112,0.08696155514599395,2024-12-25 20:14:23.319550,2024-12-25 23:01:31.173284,0 days 02:47:07.853734,8,384,128,0.0009868103743543974,7,COMPLETE
113,113,0.08928606857177841,2024-12-25 20:14:56.553210,2024-12-25 22:40:39.950074,0 days 02:25:43.396864,8,384,128,0.0010631707704185586,7,COMPLETE
114,114,0.08835754107621287,2024-12-25 20:16:45.887504,2024-12-25 23:07:04.667307,0 days 02:50:18.779803,8,384,128,0.0009523403832623574,7,COMPLETE
115,115,0.08770318297246675,2024-12-25 21:17:24.657892,2024-12-25 22:44:07.540525,0 days 01:26:42.882633,8,384,128,0.001020438994019387,7,COMPLETE
116,116,0.08986017853021622,2024-12-25 21:43:04.866369,2024-12-25 21:57:59.274783,0 days 00:14:54.408414,64,384,128,0.0009422546052446427,7,COMPLETE
117,117,0.08738686933236964,2024-12-25 21:47:28.278483,2024-12-26 00:46:47.998909,0 days 02:59:19.720426,8,448,128,1.9932977527029183e-05,10,COMPLETE
118,118,0.08775569913329698,2024-12-25 21:47:36.446369,2024-12-26 00:35:42.809968,0 days 02:48:06.363599,8,384,128,0.0010562232189255882,7,COMPLETE
119,119,0.09014138380582092,2024-12-25 21:47:50.275405,2024-12-25 23:05:40.847522,0 days 01:17:50.572117,8,384,128,0.0008999561471440205,7,COMPLETE
120,120,0.08550389757489457,2024-12-25 21:48:14.872799,2024-12-26 00:46:07.623081,0 days 02:57:52.750282,8,448,128,0.0009946244298309028,10,COMPLETE
121,121,0.08797229614359241,2024-12-25 21:50:12.580792,2024-12-26 00:46:46.795796,0 days 02:56:34.215004,8,384,128,0.0009196715845250044,10,COMPLETE
